"","case_number","recalled","recalled_log","recovered","date","month","month_name","Season","year","species","reason","recall_class","summary","dup","rec_text","recovered_text","recovered_log","Pr_recov","Pr_recov_log","year_n"
"133","019-2014",8730,3.9410639882199,NA,"4/1/14",4,"April","Spring",2014,"poultry","Undeclared Allergen","Class I",TRUE,FALSE,"8730",NA,NA,NA,NA,20
"134","020-2014",633,2.80208925788173,NA,"4/2/14",4,"April","Spring",2014,"poultry","Undeclared Allergen","Class I",TRUE,FALSE,"633",NA,NA,NA,NA,20
"135","021-2014",75320,4.87691607729788,NA,"4/4/14",4,"April","Spring",2014,"poultry","Extraneous Material","Class II",TRUE,FALSE,"75320",NA,NA,NA,NA,20
"136","022-2014",5723,3.75769962508774,NA,"4/17/14",4,"April","Spring",2014,"mixed","Other","Class II",TRUE,FALSE,"5723",NA,NA,NA,NA,20
"137","023-2014",24000,4.38022933693804,3740,"4/19/14",4,"April","Spring",2014,"poultry","Undeclared Allergen","Class I",TRUE,FALSE,"24000","3740",3.5729877081982,0.155833333333333,-0.807241628739833,20
"138","024-2014",96000,4.98227575691686,NA,"4/20/14",4,"April","Spring",2014,"mixed","Undeclared Allergen","Class I",TRUE,FALSE,"96000",NA,NA,NA,NA,20
"139","025-2014",36,1.56820172406699,NA,"4/24/14",4,"April","Spring",2014,"pork","Other","Class I",TRUE,FALSE,"36",NA,NA,NA,NA,20
"140","026-2014",350,2.54530711646582,129,"4/25/14",4,"April","Spring",2014,"pork","Undeclared Allergen","Class II",TRUE,FALSE,"350","129",2.11394335230684,0.368571428571429,-0.431363764158987,20
"141","027-2014",130,2.11727129565576,NA,"5/3/14",5,"May","Spring",2014,"poultry","Listeria","Class I",TRUE,FALSE,"130",NA,NA,NA,NA,20
"142","028-2014",222000,5.34635493072768,1098,"5/16/14",5,"May","Spring",2014,"pork","Other","Class I",TRUE,FALSE,"222000","1098",3.04099769242349,0.00494594594594595,-2.30535723830419,20
"143","029-2014",449000,5.65224730825054,3311,"5/16/14",5,"May","Spring",2014,"pork","Other","Class III",TRUE,FALSE,"449000","3311",3.52009032811284,0.00737416481069042,-2.13215698013769,20
